steam_appid,categories,genres,header_image,short_description,name,developer,publisher,price,ccu,score
976890,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/976890/header_alt_assets_3.jpg?t=1657300558,"Hidden Deep is an atmospheric sci-fi action game heavily inspired by Aliens, The Thing, and Half-Life. Explore, climb, swim, scan, blast and shoot your way through dangerous missions in a huge sub oceanic mining and research facility. Fear the horrors that lurk below…",Hidden Deep,Cogwheel Software,Daedalic Entertainment,2499,72,76
333600,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/333600/header.jpg?t=1656892670,"What's NEKOPARA? Why, it's a cat paradise! Kashou Minaduki, the son of a long line of Japanese confection makers moved out to open his own shop &quot;La Soleil&quot; as a patisserie.",NEKOPARA Vol. 1,NEKO WORKs,Sekai Project,999,71,96
102500,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet']",Action,https://cdn.akamai.steamstatic.com/steam/apps/102500/header.jpg?t=1628191773,"The minds of New York Times bestselling author R.A. Salvatore, Spawn creator Todd McFarlane, and Elder Scrolls IV: Oblivion lead designer Ken Rolston have combined to create Kingdoms of Amalur: Reckoning, a new role-playing game set in a world worth saving.",Kingdoms of Amalur: Reckoning,"Big Huge Games, 38 Studios","38 Studios, Electronic Arts",0,71,81
1450090,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1450090/header.jpg?t=1656063063,The Legend of Heroes: Sen no Kiseki role-playing game series is highly acclaimed by gamers all over the world for its elaborate character portrayals and epic storyline. The Legend of Heroes: Sen no Kiseki and The Legend of Heroes: Sen no Kiseki II have sold over 1 million copies in total.,The Legend of Heroes: Sen no Kiseki II KAI -The Erebonian Civil War-,Nihon Falcom,Clouded Leopard Entertainment,3499,71,87
41500,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/41500/header.jpg?t=1628627459,"Adventure awaits in the award-winning Action RPG debut from Runic Games! Explore the randomized depths of this boom town, collect loot, and level up to save Torchlight - and possibly the world.",Torchlight,Runic Games,Runic Games,1499,71,83
496650,"['Single-player', 'Steam Trading Cards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/496650/header.jpg?t=1649156206,"Strange coincidence brought traveler in unfamiliar places. It would be fine, except sinister desolation is starting to embrace the surroundings. There is no another soul around for the tens of kilometers. Or that’s what it seems like? I should probably go deal with that.",Antihorror,HFM Games,HFM Games,99,71,75
532110,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/532110/header.jpg?t=1619629635,Experience the beginning and end of characters' lives and build your own family tree! Rusty Lake: Roots is the second premium point-and-click adventure by the creators of the Cube Escape series and Rusty Lake Hotel.,Rusty Lake: Roots,Rusty Lake,Rusty Lake,299,71,75
695630,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/695630/header.jpg?t=1627366016,*** This game is only available in Chinese language ***,Chinese Paladin：Sword and Fairy,SOFTSTAR TECHNOLOGY(BEIJING),"SOFTSTAR TECHNOLOGY(BEIJING), SOFTSTAR ENTERTAINMENT",499,71,48
298610,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'In-App Purchases', 'Partial Controller Support', 'Includes level editor']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/298610/header.jpg?t=1648809773,"Ready to set sail towards an incredible adventure? Explore, build and play together with your friends in Ylands, a unique free-to-play sandbox adventure game. Build everything and anything you can imagine in Ylands' powerful Editor, then bring your creations alive with the magic of Visual Scripting.",Ylands,Bohemia Interactive,Bohemia Interactive,0,71,60
2300,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/2300/header.jpg?t=1600099055,"Let the Obsession begin. Again. This time, the entire forces of the netherworld have overrun Earth. To save her, you must descend into the stygian depths of Hell itself! Battle mightier, nastier, deadlier demons and monsters. Use more powerful weapons.",DOOM II,id Software,id Software,499,71,83
219780,['Single-player'],RPG,https://cdn.akamai.steamstatic.com/steam/apps/219780/header.jpg?t=1568735670,"Dragons: they have been hunted, they have been slain, but now the hour to strike back has come.",Divinity II: Developer's Cut,Larian Studios,"Larian Studios, Focus Home Interactive",1999,71,84
723780,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",Action,https://cdn.akamai.steamstatic.com/steam/apps/723780/header.jpg?t=1599682132,"Drop into a brand-new multiplayer first-person shooter featuring fun, action-packed gameplay. Choose your Agent, master your role, and dominate the battlefield with your team. From skilled attackers to supportive defenders and covert assassins, there's an Agent for every playstyle.",Modern Combat Versus,Gameloft,Gameloft,0,71,65
130,"['Single-player', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/130/header.jpg?t=1579629868,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.",Half-Life: Blue Shift,Gearbox Software,Valve,499,71,71
389570,['Multi-player'],Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/389570/header.jpg?t=1478637386,"The only one cell game with Guild Wars and Competitive Mode, Friends list with messenger, invites, guild chatroom and much more!",Mitos.is: The Game,Freakinware Studios,Freakinware Studios,0,71,81
24670,"['Single-player', 'Multi-player', 'Steam Achievements', 'Stats', 'Steam Leaderboards']",Simulation,https://cdn.akamai.steamstatic.com/steam/apps/24670/header.jpg?t=1571295015,Released 2011. See also Trainz A New Era and TRS19.,Trainz Simulator 12,N3V Games,N3V Games,999,71,71
204340,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Partial Controller Support', 'Includes level editor', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/204340/header.jpg?t=1630929543,Serious Sam 2 is a shot of adrenaline to the hearts of first-person shooter fans across the world. This is serious!,Serious Sam 2,Croteam,Devolver Digital,999,71,74
1578390,['Single-player'],Indie,https://cdn.akamai.steamstatic.com/steam/apps/1578390/header.jpg?t=1653455579,"MY GARAGE is a car simulation game with main focus being simulating real car repair, maintenance and physics.",My Garage,Viking Game Studio,Viking Game Studio,2499,71,92
596970,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/596970/header.jpg?t=1632826469,SAIL THE STARS. BETRAY YOUR QUEEN. MURDER A SUN. Sunless Skies is a Gothic Horror roleplay game with a focus on exploration and exquisite storytelling.,Sunless Skies: Sovereign Edition,Failbetter Games,Failbetter Games,2499,71,87
